Designator,Mid X,Mid Y,Layer,Rotation
BATT,42.47, 5.61,Top,270.0
C1,17.02,16.97,Top,90.0
C2,13.00,15.29,Top,90.0
C3,30.76, 6.40,Top,270.0
C4,28.73, 3.38,Top,270.0
C5,19.08,16.97,Top,90.0
C9,11.81,17.98,Top,0.0
C11,21.13,16.97,Top,90.0
IC1,18.41,12.47,Top,270.0
L1,27.13,13.49,Top,270.0
LED2, 9.30,11.81,Top,90.0
LED3,10.79,11.81,Top,270.0
LED4,12.29,11.81,Top,90.0
LED5,13.79,11.81,Top,270.0
OUT,26.42, 3.63,Top,90.0
R1,28.73, 6.40,Top,90.0
R2,26.42, 6.40,Top,90.0
R3,16.26, 8.33,Top,0.0
R4, 8.94,17.93,Top,270.0
R5, 7.90,17.93,Top,270.0
R7,10.95,15.29,Top,270.0
S1,19.66, 4.19,Top,0.0
USB, 1.67,14.47,Top,270.0
VIN,-2.06, 4.85,Top,90.0
VOUT,42.47,14.43,Top,270.0
