Designator,Mid X,Mid Y,Layer,Rotation
BATT,46.50,-4.50,Top,270.0
C1,19.52, 6.97,Top,90.0
C2,15.50, 5.29,Top,90.0
C3,31.66,-3.57,Top,270.0
C4,29.63,-6.60,Top,270.0
C5,21.57, 6.97,Top,90.0
C9,14.31, 7.98,Top,0.0
C11,23.63, 6.97,Top,90.0
D1,35.62, 2.40,Top,270.0
IC1,20.91, 2.47,Top,0.0
J1, 6.97, 4.48,Top,270.0
L1,29.63, 3.49,Top,270.0
LED2,11.80, 1.81,Top,180.0
LED3,13.29, 1.81,Top,0.0
LED4,14.79, 1.81,Top,180.0
LED5,16.29, 1.81,Top,0.0
R1,29.63,-3.57,Top,90.0
R3,18.76,-1.67,Top,0.0
R4,10.40, 7.93,Top,270.0
R5,11.44, 7.93,Top,270.0
R7,13.45, 5.29,Top,270.0
S1,22.16,-5.81,Top,0.0
VIN, 0.55,-5.15,Top,90.0
VOUT,46.50, 4.50,Top,270.0
